Brian Hernandez | Zeus | Poodle | 7 | 39 | 11.13 | 17/04/2026 12:13 a. m.
Jennifer Smith | Toby | Beaggle | 18 | 80 | 9.84 | 22/04/2026 02:41 a. m.
Felipe Scott | Coco | Siberian Husky | 11 | 52 | 17.04 | 30/04/2026 06:58 p. m.
Martina Perez | Jack | French Bull dog | 4 | 27 | 12.51 | 30/04/2026 10:41 a. m.
Daniela Jones | Rocky | German Shepherd | 4 | 27 | 24.48 | 19/04/2026 07:22 p. m.
Mark Brown | Toby | German Shepherd | 12 | 56 | 24.49 | 03/05/2026 07:10 p. m.
Patricia Perez | Bella | Poodle | 5 | 31 | 6.04 | 11/04/2026 10:37 p. m.
RONALD ALLEN | Luna | german shepherd | 17 | 76 | 18.22 | 03/05/2026 08:46 a. m.
sebastian jones | Thor | golden retriver | 18 | 80 | 29.32 | 22/04/2026 05:41 a. m.
Michael Young | Cooper | French Bulldog | 9 | 47 | 12.34 | 30/04/2026 01:02 p. m.
Harper Thompson | Bella | Poodle | 18 | 80 | 13.89 | 15/04/2026 02:56 p. m.
Ricardo Williams | Toby | Siberian Huskey | 1 | 13 | 11.91 | 16/04/2026 09:50 a. m.
Noah Torres | Thor | French Bulldog | 18 | 80 | 10.72 | 06/05/2026 11:51 p. m.
Charlotte Thomas | Duke | Chihuahua | 0 | 0 | 2.53 | 05/05/2026 04:59 a. m.
Martina Smith | Coco | Siberian Husky | 18 | 80 | 26.22 | 02/05/2026 03:35 a. m.
Joseph Williams | Toby | Siberian Husky | 0 | 0 | 21.65 | 02/05/2026 02:31 a. m.
Steven Hernandez | Daisy | Golden Retriever | 18 | 80 | 23.26 | 04/05/2026 08:02 a. m.
Timothy Anderson | Daisy | french bulldog | 18 | 80 | 12.26 | 11/04/2026 05:24 p. m.
Mariana Harris | Coco | German Shepherd | 9 | 47 | 22.51 | 03/05/2026 10:17 p. m.
Benjamin White | Zeus | Golden Retriever | 18 | 80 | 27.24 | 17/04/2026 11:26 a. m.
Daniela Allen | Lola | Dachshund | 18 | 80 | 9.37 | 20/04/2026 05:32 a. m.
Jessica Smith | Rocky | Chihuahua | 10 | 48 | 3.33 | 17/04/2026 12:03 a. m.
Amelia Williams | zeus | Beaggle | 1 | 13 | 14.03 | 22/04/2026 10:43 a. m.
Diego King | Lola | Dachshund | 18 | 80 | 4.52 | 04/05/2026 08:31 p. m.
Charlotte Perez | Daisy | Poodle | 12 | 56 | 18.21 | 14/04/2026 11:12 a. m.
Sofía Miller | Jack | Dachshund | 18 | 80 | 8.48 | 20/04/2026 01:29 p. m.
Susan Anderson | cooper | Chihuaua | 18 | 80 | 19.49 | 15/04/2026 01:56 a. m.
Mark Jackson | Bruno | Siberian Huskey | 11 | 52 | 17.56 | 21/04/2026 02:10 p. m.
Sarah Thomas | Bella | Dachshund | 18 | 80 | 9.51 | 25/04/2026 06:26 a. m.
Mariana Miller | Molly | Poodle | 18 | 80 | 9.73 | 30/04/2026 01:48 p. m.
Anthony Sanchez | Duke | Golden Retriever | 18 | 80 | 23.97 | 09/04/2026 11:46 p. m.
John Rodriguez | Toby | German Shepherd | 18 | 80 | 28.38 | 23/04/2026 08:24 p. m.
Santiago Hernandez | Bella | Golden Retrevier | 16 | 72 | 29.96 | 23/04/2026 09:21 p. m.
Ethan White | Toby | Golden Retriever | 18 | 80 | 22.55 | 21/04/2026 06:52 a. m.
Christopher Anderson | Duke | Dachshund | 9 | 47 | 8.85 | 06/05/2026 01:55 a. m.
Fernando Garcia | Rocky | Poodle | 1 | 13 | 6.94 | 23/04/2026 11:22 p. m.
Lisa Allen | Toby | Dachshund | 13 | 60 | 4.2 | 15/04/2026 07:06 a. m.
Felipe Wright | Molly | Beagle | 5 | 31 | 8.14 | 16/04/2026 01:13 p. m.
santiago davis | Bruno | german shepherd | 5 | 31 | 18.41 | 26/04/2026 11:44 p. m.
Kevin Perez | Cooper | Siberian Husky | 18 | 80 | 24.54 | 10/04/2026 04:23 p. m.
Barbara Taylor | Jack | Chihuahua | 12 | 56 | 3.68 | 19/04/2026 06:50 p. m.
Nancy Lopez | Lola | Poodle | 18 | 80 | 15.87 | 29/04/2026 03:09 p. m.
Benjamin Gonzalez | Bella | German Shepherd | 18 | 80 | 27.55 | 13/04/2026 05:13 p. m.
Andrew White | Molly | French Bulldog | 18 | 80 | 8.17 | 02/05/2026 06:29 a. m.
Elizabeth Young | Molly | French Bulldog | 5 | 31 | 9.94 | 11/04/2026 03:33 p. m.
Harper Jones | Luna | Chiuahua | 4 | 27 | 19.69 | 22/04/2026 03:00 p. m.
Valeria Young | Bruno | Gold Retiever | 11 | 52 | 12.74 | 18/04/2026 08:01 p. m.
Robert Jackson | Rocky | French Bulldog | 16 | 72 | 8.43 | 05/05/2026 10:54 a. m.
Leonardo Martin | Rocky | Siberian Husky | 6 | 35 | 25.43 | 06/05/2026 01:57 p. m.
Mary Sanchez | Coco | French Bulldog | 8 | 43 | 10.93 | 18/04/2026 06:35 a. m.
Martina Lopez | Max | Golden Retriever | 18 | 80 | 20.78 | 21/04/2026 03:20 p. m.
Patricia Miller | Max | French Buldog | 11 | 52 | 11.21 | 10/04/2026 04:59 a. m.
Charlotte Johnson | Lola | Dachshund | 18 | 80 | 7.72 | 13/04/2026 01:15 p. m.
matias brown | Zeus | Siberian Huskey | 13 | 60 | 18.26 | 06/05/2026 07:22 a. m.
Jennifer Johnson | MAX | Siberian Husky | 12 | 56 | 25.51 | 28/04/2026 05:46 a. m.
Nancy Martinez | Rocky | Chihuahua | 18 | 80 | 3.13 | 14/04/2026 05:36 p. m.
